テスト結果,テストケース,config,リクエスト,レスポンス
"OK","No.2正常系上書更新","testdata/api-cus-012/10/config/test_config_0002.json","testdata/api-cus-012/10/request/test_request_0002.golden","testdata/api-cus-012/10/response/test_response_0002.golden"
"OK","No.3正常系空文字列更新","testdata/api-cus-012/10/config/test_config_0003.json","testdata/api-cus-012/10/request/test_request_0003.golden","testdata/api-cus-012/10/response/test_response_0003.golden"
"OK","No.4正常系空文字列登録","testdata/api-cus-012/10/config/test_config_0004.json","testdata/api-cus-012/10/request/test_request_0004.golden","testdata/api-cus-012/10/response/test_response_0004.golden"
"OK","No.5正常系null更新","testdata/api-cus-012/10/config/test_config_0005.json","testdata/api-cus-012/10/request/test_request_0005.golden","testdata/api-cus-012/10/response/test_response_0005.golden"
"OK","No.6正常系属性,アプローチ更新","testdata/api-cus-012/10/config/test_config_0006.json","testdata/api-cus-012/10/request/test_request_0006.golden","testdata/api-cus-012/10/response/test_response_0006.golden"
"OK","No.7正常系属性,アプローチ更新","testdata/api-cus-012/10/config/test_config_0007.json","testdata/api-cus-012/10/request/test_request_0007.golden","testdata/api-cus-012/10/response/test_response_0007.golden"
"OK","No.9異常系対象顧客なし","testdata/api-cus-012/10/config/test_config_0009.json","testdata/api-cus-012/10/request/test_request_0009.golden","testdata/api-cus-012/10/response/test_response_0009.golden"
"OK","No.12異常系entry_data欠損","testdata/api-cus-012/10/config/test_config_0012.json","testdata/api-cus-012/10/request/test_request_0012.golden","testdata/api-cus-012/10/response/test_response_0012.golden"
"OK","No.13異常系パラメータ欠損","testdata/api-cus-012/10/config/test_config_0013.json","testdata/api-cus-012/10/request/test_request_0013.golden","testdata/api-cus-012/10/response/test_response_0013.golden"
"OK","No.14異常系パラメータ欠損","testdata/api-cus-012/10/config/test_config_0014.json","testdata/api-cus-012/10/request/test_request_0014.golden","testdata/api-cus-012/10/response/test_response_0014.golden"
"OK","No.15異常系合算先なし?","testdata/api-cus-012/10/config/test_config_0015.json","testdata/api-cus-012/10/request/test_request_0015.golden","testdata/api-cus-012/10/response/test_response_0015.golden"
"OK","No.10楽観ロック","testdata/api-cus-012/08/config/test_config_0010.json","testdata/api-cus-012/08/request/test_request_0010.golden","testdata/api-cus-012/08/response/test_response_0010.golden"
"OK","No.1正常系新規登録","testdata/api-cus-012/09/config/test_config_0001.json","testdata/api-cus-012/09/request/test_request_0001.golden","testdata/api-cus-012/09/response/test_response_0001.golden"
"OK","No.8異常系認証エラー","testdata/api-cus-012/11/config/test_config_0008.json","testdata/api-cus-012/11/request/test_request_0008.golden","testdata/api-cus-012/11/response/test_response_0008.golden"
"OK","No.11異常系DBへの接続エラー","testdata/api-cus-012/13/config/test_config_0011.json","testdata/api-cus-012/13/request/test_request_0011.golden","testdata/api-cus-012/13/response/test_response_0011.golden"
